Date,Tweet ID,Text,Username,sentiment,label,score,Open,High,Low,Close,Adj Close,Volume
2021-04-01,1377765449077829646,@ltgrusselhonore @Baton @bp @exxonmobil @Chevron @conocophillips @NOLAnews @CedricRichmond @RepRichmond @EdwardTedJames and soon to be @TeamKCP @troyc4Congress @tcartersenate Come on let’s get us out of last place! The people of Louisiana know you can get @VP @POTUS  to help @LouisianaGov @JohnBelEdwards ASAP GET US OUT THE BOTTOM OF THE OIL BARREL,Fess1970,"[{'label': 'NEGATIVE', 'score': 0.961742639541626}]",NEGATIVE,0.961742639541626,105.260002,105.860001,104.209999,105.75,99.121391,8515800
2021-04-01,1377762433461231617,if we lived in a just and honorable world every single chevron &amp; big oil exec would be [redacted],buhbuhballin,"[{'label': 'NEGATIVE', 'score': 0.9459139704704285}]",NEGATIVE,0.9459139704704284,105.260002,105.860001,104.209999,105.75,99.121391,8515800
2021-04-01,1377752643876098053,"Committing to zero routine flaring by 2025 will separate leaders from laggards in the oil and gas industry.

Chevron’s 2030 timeline is a missed opportunity, @RatnerBen explains via @dcexaminer. #CutMethane

https://t.co/diNQnZqfpm",EDFEnergyEX,"[{'label': 'NEGATIVE', 'score': 0.999148964881897}]",NEGATIVE,0.999148964881897,105.260002,105.860001,104.209999,105.75,99.121391,8515800
2021-04-01,1377745681134198789,"Does Chevron spend 98% of its worth on dirty oil and gas, only to call itself clean and green? Chevron does. @JoshEisenfeld @greenpeaceusa @Global_Witness",jenkrill,"[{'label': 'NEGATIVE', 'score': 0.9950597286224365}]",NEGATIVE,0.9950597286224364,105.260002,105.860001,104.209999,105.75,99.121391,8515800
2021-04-01,1377742656160284677,@SDonziger @DavidYankovich Is Chevron the Russian oil company?,Jackie1Connolly,"[{'label': 'NEGATIVE', 'score': 0.9967467784881592}]",NEGATIVE,0.9967467784881592,105.260002,105.860001,104.209999,105.75,99.121391,8515800
2021-04-05,1379205940688396292,@Albertagarbage Everyone in oil and gas should know how poor 60 Minutes reporting is based on Chevron / Donzinger / Ecuador litigation results.  Shitty reporters perpetuated a fraud.  it doesn’t even matter to them because it’s pushing a bigger agenda.,DeadDriller,"[{'label': 'NEGATIVE', 'score': 0.9997581839561462}]",NEGATIVE,0.9997581839561462,105.730003,105.830002,104.169998,104.510002,97.959106,8692700
2021-04-05,1379175726255988736,"'In March, at #CERAWeek—an annual conference for the oil and gas industry—@Chevron CEO Mike Wirth excitedly described how Covid-19 had accelerated the company’s workforce shrinkage.' @SDonziger
https://t.co/UeKRILbTW2",RKBtoo,"[{'label': 'NEGATIVE', 'score': 0.9836314916610718}]",NEGATIVE,0.9836314916610718,105.730003,105.830002,104.169998,104.510002,97.959106,8692700
2021-04-05,1379164322576924673,"Most U.S. oil companies had share price heyday (upper decile) in 2014.
Only Chevron, Diamondback, EOG, Exxon &amp; Callon had good performance later.
None performed in upper decile in 2020-2021.
#oilandgas #oil #WTI #CrudeOil #akrdc #PANR https://t.co/ZhB2hJcOM3",PantheonResour1,"[{'label': 'NEGATIVE', 'score': 0.9941257238388062}]",NEGATIVE,0.9941257238388062,105.730003,105.830002,104.169998,104.510002,97.959106,8692700
2021-04-05,1379164310379892747,"Most U.S. oil companies had share price heyday (upper decile) in 2014.
Only Chevron, Diamondback, EOG, Exxon &amp; Callon had good performance later.
None performed in upper decile in 2020-2021.
#OOTT #oilandgas #oil #WTI #CrudeOil #fintwit #OPEC #Commodities https://t.co/r7yySnqs4c",aeberman12,"[{'label': 'NEGATIVE', 'score': 0.9923774003982544}]",NEGATIVE,0.9923774003982544,105.730003,105.830002,104.169998,104.510002,97.959106,8692700
2021-04-05,1379139362819092486,Listen to the most recent episode of my podcast: Chevron already ran up with the oil prices https://t.co/k7Q4Sy6OFN,cmealick,"[{'label': 'NEGATIVE', 'score': 0.997628390789032}]",NEGATIVE,0.997628390789032,105.730003,105.830002,104.169998,104.510002,97.959106,8692700
2021-04-06,1379574789233373194,Emails Raise Questions About Chevron’s Bay Area Oil Spill Response via @capitalandmain - https://t.co/AaWscuWwnP,kckitty,"[{'label': 'NEGATIVE', 'score': 0.9861997365951538}]",NEGATIVE,0.9861997365951538,104.25,105.080002,103.449997,103.580002,97.08741,8125100
2021-04-06,1379559170224099331,U.S. Lawyer Steven Donziger Speaks from House Arrest in NYC After Suing Chevron for Amazon Oil Spills https://t.co/YKtqDY12gT via @democracynow,chandrairene,"[{'label': 'NEGATIVE', 'score': 0.9360049366950989}]",NEGATIVE,0.9360049366950988,104.25,105.080002,103.449997,103.580002,97.08741,8125100
2021-04-06,1379550746903973892,Oil companies - in this case Chevron - are NOT above the law. They are seeking to criminalize those who stand up to their abuses and we must stand united as a movement against them. Please sign the petition and demand the @TheJusticeDept act NOW to #FreeDonziger. #Chevronguilty,amazonwatch,"[{'label': 'NEGATIVE', 'score': 0.9971641898155212}]",NEGATIVE,0.9971641898155212,104.25,105.080002,103.449997,103.580002,97.08741,8125100
2021-04-06,1379543202701602819,"Big oil gave trump $150 M/YR
Got 2.5 Billion in return

Pfizer gave  16 M
Got 39 Billion in return

GE gave 20M
Got 16 Billion in return

Chevron gave 13M
Got 9 Billion in return

@JoeBiden @VP @SenSchumer @Nancy @SpeakerPelosi should not waste any time getting our money back!",RealscienceRn,"[{'label': 'NEGATIVE', 'score': 0.5430743098258972}]",NEGATIVE,0.5430743098258972,104.25,105.080002,103.449997,103.580002,97.08741,8125100
2021-04-06,1379532381405728771,@SecBlinken @SudanPMHamdok After nearly 46 years #Chevron is back to Sudan. In 1974 #Chevron had oil consession in #SouthSudan &amp; #Darfur with #Sudan which later was given to #China. #Bashir paid the price. #US effort to secure it back cost lives of millions. Is it another round for #Ethiopian's &amp; #Sudanese,kassaahunt,"[{'label': 'NEGATIVE', 'score': 0.9958078861236572}]",NEGATIVE,0.9958078861236572,104.25,105.080002,103.449997,103.580002,97.08741,8125100
2021-04-07,1379944595866411008,"Senator Bernie Sanders, chairman of the Senate Budget Committee, has called on three oil and gas executives to testify next Thursday at a hearing on climate change. 

BP America has already declined. Chevron CEO and ExxonMobil CEO Darren also invited https://t.co/rHUKi3qOqt",drogon_dracarys,"[{'label': 'NEGATIVE', 'score': 0.7924838662147522}]",NEGATIVE,0.7924838662147522,103.470001,104.57,103.260002,104.190002,97.659172,7699300
2021-04-07,1379940300311777287,"Richmond Mayor Tom Butt was publicly optimistic about a Chevron oil refinery spill. In private he took on a much different tone.

https://t.co/zu0wpnW3TW",capitalandmain,"[{'label': 'POSITIVE', 'score': 0.9834782481193542}]",POSITIVE,0.9834782481193542,103.470001,104.57,103.260002,104.190002,97.659172,7699300
2021-04-07,1379935449859383296,Goldman Sachs Cut Chevron Stock. Here Are the Oil Stocks to Buy Instead. - Barron's https://t.co/X3Qvma21tD,NahidAlaei,"[{'label': 'NEGATIVE', 'score': 0.9969606995582581}]",NEGATIVE,0.996960699558258,103.470001,104.57,103.260002,104.190002,97.659172,7699300
2021-04-07,1379915787536842756,"@DailyMail @MailOnline Kam Harris is calling the shots .... What’s happening ok the border ....  Oil and gas ⛽️ Chevron , Exxon 🤨",mickraff,"[{'label': 'NEGATIVE', 'score': 0.9293163418769836}]",NEGATIVE,0.9293163418769836,103.470001,104.57,103.260002,104.190002,97.659172,7699300
2021-04-07,1379901505122144257,"The campaign to make ""ecocide"" an international atrocity crime is picking up major momentum. This must be terrifying to the CEOs of every big oil company.

@Chevron CEO Wirth and @Exxon CEO Woods: Consider yourselves on notice.

@TheCitizen @EcocideLaw #StopEcocide https://t.co/8AIyeHEWXP",SDonziger,"[{'label': 'NEGATIVE', 'score': 0.9600460529327393}]",NEGATIVE,0.9600460529327391,103.470001,104.57,103.260002,104.190002,97.659172,7699300
2021-04-08,1380285624641540109,"@sunrisemvmtnyc @sunrisemvmt #FREEDONZIGER @stevendonziger sued @chevron on behalf of indigenous people who were killed and sickened by toxic oil spills in the forests of Ecuador, the biggest oil pollution in Human history, Chevron hired 2000 lawyers to silence Steve and the victims. https://t.co/EdW43H5iHB",FDonziger,"[{'label': 'NEGATIVE', 'score': 0.9903035759925842}]",NEGATIVE,0.9903035759925842,103.519997,103.620003,102.07,103.019997,96.562508,8283000
2021-04-08,1380273218167132164,"@RepMcGovern @USAmbBR #FREEDONZIGER @stevendonziger sued @chevron on behalf of indigenous people who were killed and sickened by toxic oil spills in the forests of Ecuador, the biggest oil pollution in Human history. Chevron hired 2000 lawyers to silence Steve and the victims.",FDonziger,"[{'label': 'NEGATIVE', 'score': 0.991480827331543}]",NEGATIVE,0.991480827331543,103.519997,103.620003,102.07,103.019997,96.562508,8283000
2021-04-08,1380261604944666627,"#Donzinger won lawsuit for 30.000 #indigenous people because chevron poisoned their land 10 years ago, #Ecuador's Supreme Court ordered Chevron to pay $18billion for dumping &lt;70bio liters of oil+toxic waste into the Amazon
2021 #NYC #USA #Assange #Biden protect your #democracy",ete_uwu,"[{'label': 'NEGATIVE', 'score': 0.9946591258049011}]",NEGATIVE,0.9946591258049012,103.519997,103.620003,102.07,103.019997,96.562508,8283000
2021-04-08,1380249268431167489,"TIL Chevron owns the copyright on Standard Oil in California, and to maintain the rights Chevron operates this single Standard Oil station in San Francisco.
Standard
https://t.co/Lp1CGDhuTZ",Andrew_B_Bader,"[{'label': 'NEGATIVE', 'score': 0.9700915813446045}]",NEGATIVE,0.9700915813446044,103.519997,103.620003,102.07,103.019997,96.562508,8283000
2021-04-08,1380240445054181376,"Feeling confused about sanctions. If the US sanctioned Myanma Oil and Gas Enterprise, would @Chevron be forced to pull out of Myanmar, since their projects are partnered with MOGE?",Runny_Millie,"[{'label': 'NEGATIVE', 'score': 0.9981947541236877}]",NEGATIVE,0.9981947541236876,103.519997,103.620003,102.07,103.019997,96.562508,8283000
2021-04-09,1380649608712495104,@ashleymosqueda9 Phillips and Chevron have oil fields close to where I live out here in the desert. #morepolicybetterairquality,DeadMime72,"[{'label': 'NEGATIVE', 'score': 0.988278329372406}]",NEGATIVE,0.988278329372406,103.120003,103.68,102.099998,102.919998,96.468773,7163700
2021-04-09,1380649099192598530,"@DeadMime72 That is the oil industry. I work in Phillips 66/Chevron. 
#morepolicybetterairquality",ashleymosqueda9,"[{'label': 'NEGATIVE', 'score': 0.9891279339790344}]",NEGATIVE,0.9891279339790344,103.120003,103.68,102.099998,102.919998,96.468773,7163700
2021-04-09,1380614428169662464,"2/3)  “The truth is that executives from BP, Exxon, Chevron, and other Big Oil companies have spent decades lying to the American people about their commitment to solving climate change and the catastrophic climate damages they knew their products would cause.",Roupadoubta,"[{'label': 'NEGATIVE', 'score': 0.9754025340080261}]",NEGATIVE,0.975402534008026,103.120003,103.68,102.099998,102.919998,96.468773,7163700
2021-04-09,1380582571608772609,"@mokaThought Yeah, Exxon and Chevron have done great for me.  I’m also not shy about oil in my 401k and those are my best funds.",jwmarianna,"[{'label': 'POSITIVE', 'score': 0.9995670914649963}]",POSITIVE,0.9995670914649964,103.120003,103.68,102.099998,102.919998,96.468773,7163700
