Date,Tweet ID,Text,Username,Likes
2022-03-01 23:45:34+00:00,1498806684898271233,"""Tensions have created this price anxiety, but markets are supplied right now. There is not a shortage of oil.""

Chevron CEO Mike Wirth speaks with @RiggsReport @CarolineHydeTV &amp; @RomaineBostick as oil surges above $106 a barrel https://t.co/VBh4UVqBpY https://t.co/UIjKe1HHa0",BloombergTV,4
2022-03-01 23:39:22+00:00,1498805125342588928,STALKERS &amp; TWITTER FOLLOWERS — DID YOU KNOW THAT THE CHEVRON EXTRA MILE IS #1-1-1 !!  THAT’S RIGHT !!  CHEVRON # 1-1-1 IS ON LA BREA &amp; COLISEUM NEAR THE BALDWIN HILLS / INGLEWOOD OIL FIELDS !! I ⛽️ FUELED AT CHEVRON 1-1-1 ON SUNDAY NIGHT BEFORE MY TIK TOK VIDEOS AT SOFI STADIUM https://t.co/WhIYPZPYZy,rrrremington,0
2022-03-01 23:28:05+00:00,1498802284901240832,"Many of us here want answers. 

Why Did California Regulators Choose a Firm with Ties to Chevron to Study Irrigating Crops with Oil Wastewater? https://t.co/GjFOfI1B0C",bluwndzdancing,0
2022-03-01 23:13:09+00:00,1498798525773082630,"@FoxNews Knock off the blatant propaganda. We get 5% of our oil from Russia. 

Let’s call on American oil companies like @exxonmobil, @Chevron, @Phillips66Co, and @conocophillips to stop holding back production just to keep prices high.",rjdomos,1
2022-03-01 23:00:01+00:00,1498795219030003716,@ezylife10 @FSM_Prophet @Comrd_sadiq @Chevron Who de talk ahout oil? Go back and reread carefully and slowly. Since you ve resorted to insults it seems you ve emptied all you have upstairs. Brb,Palacio_133,0
2022-03-01 22:51:57+00:00,1498793189297340420,"#Chevron CEO to Biden's govt: 'Energy policy has failed to recognize' oil connection with security. 'I wish there had been more dialogue'. 'Interaction with us was lower on the list.' Wirth says now hopes to have 'constructive dialogue' going forward'.
https://t.co/Of3XHiQux3",sabrinavalle,1
2022-03-01 22:44:38+00:00,1498791348333330433,"@SenHydeSmith Gas prices are up
Poor oil companies: ""there's nothing we can do""

Chevron just posted a $15.6 billion profit, its biggest since 2014. The extra money is going to investors via a larger dividend.

We have a corporate greed problem, not an inflation problem
https://t.co/4tMbmFcle9",itsthejody,2
2022-03-01 22:40:04+00:00,1498790199228207105,"Chevron Calls On Biden to Support U.S. Oil as Russia Raises Risks
Bloomberg
https://t.co/RmR7hXMqgI",sourceseh,0
2022-03-01 22:20:40+00:00,1498785315779067908,"@FoxNews American companies export oil.

If that’s the case, then we must be producing more than enough oil domestically to be in a position to export.

I have questions for Exxon, Chevron, and ConocoPhillips. https://t.co/tW4XMtCfpT",_USAPatriot_,3
2022-03-01 22:16:58+00:00,1498784384870088707,"@Lancegooden America exports oil.

If that’s the case, then we must be producing more than enough oil domestically to be in a position to export.

I have questions for Exxon, Chevron, and ConocoPhillips. https://t.co/5OIR9JS4HL",_USAPatriot_,0
2022-03-02 22:19:33+00:00,1499147423091871746,@murphy623_scott because yeah The way you put it makes it sound so easy &amp; the right thing to do Come on Chevron. ExxonMobile. ConocoPhilips. Occidental. Chesapeake. Devon and all you other US oil companies....Think out of the box &amp; do SOMETHING patriotic AND help the freaking situation we're in.,KboMaryanne,0
2022-03-02 21:43:24+00:00,1499138329098407937,"@DanielTurnerPTF Tell the refining companies (Exxon, Chevron, Valero etc) to stop importing oil from those countries you are opposed to then.",monolith_black,1
2022-03-02 21:35:45+00:00,1499136402822340610,"@MVetter96 @FoxNews @laurenboebert Huh? Exxon, Chevron, and ConocoPhillips are still exporting oil our oil in 2021. Why?",_USAPatriot_,0
2022-03-02 21:09:35+00:00,1499129817865900037,"@GenerallyMarco @RBReich The plutocrats/ corporatists allow the same in the US. Look @ Pharma, Big Chemical &amp; same as Russia Big oil. Chevron owns the Federalist Society, and consequently judges &amp; prosecutions. All while committing ecocide.",Decima28936219,0
2022-03-02 21:01:13+00:00,1499127710597136391,"@tishcountyhs Alumnus Carlynn Rainey-Crawford spoke to @AthleticsTCHS Football today at Wednesday #ROW Above the Line &amp; Character Education about careers/experiences in the oil &amp; gas industry. A Land Analyst for Chevron &amp; flew here from Houston, TX. She is #builtbyTC https://t.co/ysydokLD4i",CoachRusso2001,1
2022-03-02 20:00:51+00:00,1499112519243161604,@SDonziger @Chevron @exxon No more soft pedling. Fuck these people they are murders for oil. NATIONALIZE ALL OIL COMPANIES and charge the last 10 years of CEO's  with continuous social murder and contributing to the deaths of millions What are we waiting for? End predatory psychopathic rule now.,CJudges,0
2022-03-02 19:57:58+00:00,1499111793691611140,"@chadsweeney Since Keystone isn’t even built and up and running, how would it help the current situation? Biden should have asked American oil companies to increase production immediately but the CEO of Chevron said Biden hasn’t spoken to any of them.",DAbedrabo,0
2022-03-02 19:54:48+00:00,1499110996975120389,"Among other terrible things Rearden &amp; Gibson Dunn Crutcher attorneys profited from.

Ecuador's courts found Chevron guilty of intentional, widespread oil waste pollution. The water is still poison, the land still polluted...Chevron still owes $9.5 BILLION:
https://t.co/oJLmQziBJr",ClimateConnor,2
2022-03-02 19:39:41+00:00,1499107194586816515,@Chevron Please withdraw oil business with Russia immediately. It will save lives. It’s the least you can do.,LaurieA09489178,0
2022-03-02 18:55:07+00:00,1499095978313400329,"BREAKING: BP and Shell quickly divested from Russia after the invasion of Ukraine, while U.S. oil giants @Chevron and @Exxon are still funding war crimes through their joint ventures with Putin.

CEOs Michael Wirth and Darren Woods should be ashamed.
https://t.co/tDns209aWv https://t.co/bV7uWoWCNS",SDonziger,909
