Date,Tweet ID,Text,Username,Likes
2022-07-01 23:24:05+00:00,1543012596508348416,"@TommieStephsYO @NamelessGhoulTX @DocDeezWhat @SomeSis1 @rico486 @Trumpbangskids @1999cvx @Bastard_Esq @DanielScott1966 @mercedeslynn008 @JackPosobiec It’s funny when oil companies lost their asses last year, you didn’t bring that up.  Great quotes from Chevron CEO on why capacity will it be increased and policies killing investment https://t.co/lFI4otz9Nq",FreedomDogz,0
2022-07-01 22:29:46+00:00,1542998928903114752,"@VivekGRamaswamy @ConceptualJames If you really want to know how the Biden regime is damaging the oil industry, just listen to the CEO of Chevron.  Everyone knows Russia didn’t destroy our energy independence. Stolen elections have consequences. Watch 2000 mules. RIP Zev Zelenko. Do not comply.",Hooray4Elon,2
2022-07-01 21:48:08+00:00,1542988451020152832,"With interest in #HydrogenEnergy growing rapidly, some of the largest projects and investments have been announced by long-time oil giants like bp, Shell, and Chevron, reports @OilandEnergy
#EnergyNews #Energy #Hydrogen #OilandGas

https://t.co/M4QibC9k8D https://t.co/yQCsL3BlD7",USEnergyUpdate,0
2022-07-01 21:20:53+00:00,1542981592787943426,@LiMi420inda509 @KevinKileyCA You think Shell and Chevron set oil prices? 🤡,907FLY,14
2022-07-01 20:51:43+00:00,1542974251120173056,@seanhannity Maybe explain how the Biden policies are destroying Big Oil-  who is STILL reporting record profits and the Chevron CEO said they pumped more oil in 2021 than ever before in their history.  Inflation is high AROUND THE WORLD.  It's called supply/demand you 🤡🤡🤡,maestrobasser,1
2022-07-01 20:43:36+00:00,1542972208083083267,"@krentz_andrew @butterfly5069 @RepMTG There is a problem with that Andy. Chevron's CEO said publicly that they won't build any more refineries because share holders would see diminished returns for 10 yrs. He said that after recording record high margins. Big oil is happy how it is, keeping supply where it is.",RickCoo23237042,1
2022-07-01 20:06:44+00:00,1542962930462797824,Another (relatively) good place to invest was oil &amp; gas stocks. Below are charts comparing SP500 to Chevron and Exxon stocks during the December 1969 and December 1973 analogs. https://t.co/yf0cHZkSHb,MisterWhite2023,0
2022-07-01 19:33:57+00:00,1542954680300425216,"@SenSanders California: $6.27
Humboldt, California: Right around $7 at the moment

Big oil really loves us. P.S. Chevron brings fuel into Humboldt via ship, so it's not the roads",hyperlogos,1
2022-07-01 18:52:17+00:00,1542944195731591168,"@exxonmobil  @bp_America @unitedoil @Chevron @Shell 

Oil Companies are to Blame. https://t.co/bTyylx6rkn",Buddhabman,0
2022-07-01 18:02:24+00:00,1542931643085705216,"On March 3, 1938 a US company that became CHEVRON drilled and discovered the world's largest oil reserve in Saudi Arabia. Did the US swoop in and take over the country and keep the oil for ourselves? No. Maybe we should have.
https://t.co/bjbOquB64J",itsfuninhere,0
