Date,Tweet ID,Text,Username,Likes,sentiment,label,score,Open,High,Low,Close,Adj Close,Volume
2022-06-01 23:59:03+00:00,1532149762392309761,@Chevron Don’t let gov tell you what to do as they don’t care people are suffering badly. They want to close oil companies as well,RobertA15891551,3.0,"[{'label': 'NEGATIVE', 'score': 0.9927893280982971}]",NEGATIVE,0.9927893280982971,,,,,,
2022-06-01 23:44:08+00:00,1532146007219195904,"@RepStefanik No they are the direct result of Exxon, Chevron, and Shell making Windfall profits. They are the one increasing gas prices not Biden. Biden does not set gas prices. Implement a windfall profit tax. Of that right Big Oil has bought you!!  #WindfallTax",keithlb,0.0,"[{'label': 'NEGATIVE', 'score': 0.990190863609314}]",NEGATIVE,0.990190863609314,,,,,,
2022-06-01 23:40:44+00:00,1532145150750867457,"@Jim_Jordan Tell Exon, Shell, Texaco, Chevron, the oil Oligarchs are getting richer, your part of the problem, here's proof, so stop gaslighting your uneducated voters...gym! https://t.co/WzjA8vtskZ",atxsouthside04,0.0,"[{'label': 'NEGATIVE', 'score': 0.9949842691421509}]",NEGATIVE,0.9949842691421509,,,,,,
2022-06-01 23:36:52+00:00,1532144177374408709,"When Chevron's PAC is maxed out to you, don't tell voters you aren't taking oil $$$$. Everyone is smarter than that.

And, I don't understand why anyone would claim they signed an anti-Big Oil money pledge if they actually didn't.

Color me confused.",EvanMMinton,12.0,"[{'label': 'NEGATIVE', 'score': 0.9966444969177246}]",NEGATIVE,0.9966444969177246,,,,,,
2022-06-01 23:18:44+00:00,1532139614734934017,"$BRK.A $BRK.B $BRK OIL GAS ENERGY BOOM 
While Increasing Their Stake 316.21%
Second Largest Holder In $CVX Chevron
@petenajarian https://t.co/yPzCW2InOi",Icon00007,0.0,"[{'label': 'POSITIVE', 'score': 0.7695096135139465}]",POSITIVE,0.7695096135139465,,,,,,
2022-06-01 23:14:51+00:00,1532138638829445120,"@JakeEvansGA The profits Big Oil raked in last quarter:

Shell: $9.1 billion
Chevron: $6.3 billion
BP: $6.2 billion
Exxon: $5.4 billion

This is called pricing gouging",Mad_as_heII,147.0,"[{'label': 'NEGATIVE', 'score': 0.9948719143867493}]",NEGATIVE,0.9948719143867493,,,,,,
2022-06-01 23:10:51+00:00,1532137631877943297,"@Chevron Never forget American taxpayers pay billions of monies for research excavation and refinery of oil and its petroleum products and polymers.

Where are those billions now coming back as maybe a little bit of appreciation?

Maybe a promoted tweet about that would be the right thing",Really4Equality,1.0,"[{'label': 'NEGATIVE', 'score': 0.9884992241859436}]",NEGATIVE,0.9884992241859436,,,,,,
2022-06-01 23:09:03+00:00,1532137175923318785,"@tedcruz Just FYI... oil and gas companies are canceling their leases in Alaska. Hilcorp, Chevron and Regenerate Energy have all canceled their leases. To keep oil and gas prices high? Collusion? Seeking more tax breaks from GOP?",laelia51,31.0,"[{'label': 'NEGATIVE', 'score': 0.9997506737709045}]",NEGATIVE,0.9997506737709045,,,,,,
2022-06-01 22:24:38+00:00,1532125998207995905,"Chevron Colorado works to deliver the energy our state needs while helping build a brighter future. 

According to @CREDorg, Colorado's oil and gas industry has generated $1.3 billion in the last 10 years for parks, roads, and infrastructure for our state. 

#energystrong https://t.co/hNo0OgIWfh",ChevronColorado,4.0,"[{'label': 'POSITIVE', 'score': 0.9696014523506165}]",POSITIVE,0.9696014523506165,,,,,,
2022-06-01 22:13:58+00:00,1532123313706786816,"@RepStefanik It should be noted: Major oil companies like BP, Exxon, Shell, Chevron, etc are POSTING RECORD PROFITS ⬆️. Stop tweeting misinformation",K12PJcberDUp4B,0.0,"[{'label': 'NEGATIVE', 'score': 0.9467394948005676}]",NEGATIVE,0.9467394948005676,,,,,,
2022-06-02 23:53:48+00:00,1532510826778701824,"@IrguIrv @JessicaSFishman @Chevron You criticized someone for saying oil companies do bad shit- like producing plastic for every conceivable consumer item, often when it’s totally unnecessary. Meanwhile plastic lasts virtually forever and continues to pollute the planet.",Chaospress32,1.0,"[{'label': 'NEGATIVE', 'score': 0.9993798732757568}]",NEGATIVE,0.9993798732757568,,,,,,
2022-06-02 23:32:22+00:00,1532505431997915137,@ronaldt53931532 @rosanne_sacto @johnrich @Chevron @exxonmobil The reason that U.S. oil companies haven't increased production is simple: They decided to use their billions in profits to pay dividends to their CEOs and wealthy shareholders and simply haven't chosen to invest in new oil production,KDSmith39,1.0,"[{'label': 'NEGATIVE', 'score': 0.9946025013923645}]",NEGATIVE,0.9946025013923645,,,,,,
2022-06-02 23:29:45+00:00,1532504774607679490,@ProudSocialist The problem is the oil companies have the power to destroy our economy and any political opposition. They are holding us ransom. I don’t see massive demos outside of Exxon or Chevron headquarters.,MARKSHA58198623,1.0,"[{'label': 'NEGATIVE', 'score': 0.9978267550468445}]",NEGATIVE,0.9978267550468445,,,,,,
2022-06-02 23:04:49+00:00,1532498499895705600,"@AbsentHog @StuartBDonovan The real carbon vandals aren't necessarily Hummer drivers, but rather the Big Oil monopolies like ExxonMobil, BP, Chevron, Koch Industries etc.",kumararepublic,1.0,"[{'label': 'NEGATIVE', 'score': 0.988419771194458}]",NEGATIVE,0.988419771194458,,,,,,
2022-06-02 23:00:17+00:00,1532497359141326863,"Progress! An overwhelming 98% of @Chevron investors voted in favor of a proposal from @MercyInvests calling on the oil and gas major to issue an analysis on the reliability of its methane disclosures. 
https://t.co/MjrlyatsPB",AsYouSow,0.0,"[{'label': 'POSITIVE', 'score': 0.972566545009613}]",POSITIVE,0.972566545009613,,,,,,
2022-06-02 22:55:07+00:00,1532496058340634624,"@Chevron In other words, as long as we are dependent on oil and gas, improving methods and efficiencies of extraction results in lower carbon emissions at the source. The US leads many other countries in this regard. 
Where does the E come from for your Prius? 
https://t.co/wdG8vXvBmr",RockyColo,4.0,"[{'label': 'NEGATIVE', 'score': 0.9957218170166016}]",NEGATIVE,0.9957218170166016,,,,,,
2022-06-02 22:40:15+00:00,1532492317143273472,"“ExxonMobil, Chevron and other major oil companies announced surging profits totaling more than $40 billion in the first quarter of the year.”

https://t.co/j33iCyeeqr",saremkay,0.0,"[{'label': 'NEGATIVE', 'score': 0.6629852652549744}]",NEGATIVE,0.6629852652549744,,,,,,
2022-06-02 22:36:36+00:00,1532491397353414656,"@Jim_Jordan If corporate profits are at a 70-year-high, why are prices soaring?

Here's how much profit Big Oil raked in last quarter:

Shell: $9.1 billion
Chevron: $6.3 billion
BP: $6.2 billion
Exxon: $5.4 billion",KuttAndrew,0.0,"[{'label': 'NEGATIVE', 'score': 0.9930902123451233}]",NEGATIVE,0.9930902123451233,,,,,,
2022-06-02 22:00:08+00:00,1532482220396630035,"Dave Jones is the only candidate for Senate District 8 that has NOT taken oil money. A Chevron and PG&amp;E-funded PAC supports Angelique Ashby - and has spent big on indirect support. We need more politicians who don’t take oil money. 

https://t.co/L5a2JIlQmu",envirovoters,3.0,"[{'label': 'NEGATIVE', 'score': 0.8971350789070129}]",NEGATIVE,0.8971350789070129,,,,,,
2022-06-02 21:49:14+00:00,1532479478336741376,"@Chevron And what if, and hear me out, you stopped lining your pockets with record profits in the midst of an “oil crises”",mo06586953,86.0,"[{'label': 'NEGATIVE', 'score': 0.9969514608383179}]",NEGATIVE,0.9969514608383179,,,,,,
2022-06-03 23:55:39+00:00,1532873680224628736,@dodgerfan2k17 @NickAdamsinUSA @exxonmobil @bp_America @Chevron @Shell you think tagging the twitter account of oil companies will change the inflation rate in the us,skirthyworld,2.0,"[{'label': 'NEGATIVE', 'score': 0.9948796033859253}]",NEGATIVE,0.9948796033859253,,,,,,
2022-06-03 23:55:02+00:00,1532873525433978880,Chevron CEO says there may never be another oil refinery built in the U.S. https://t.co/li2IIXuURK,FoxNews,139.0,"[{'label': 'NEGATIVE', 'score': 0.9900563955307007}]",NEGATIVE,0.9900563955307007,,,,,,
2022-06-03 23:51:21+00:00,1532872598689816576,"@DanielleJ_Nebr I’d prefer to label it Chevron, Exxon/Mobil, Shell, BP, Conoco/Phillips’s America. The 5 oil companies who tripled their earnings to to the tune of $35 billion last quarter.

Where’s the outrage?",Rebecca28049528,0.0,"[{'label': 'NEGATIVE', 'score': 0.9934853911399841}]",NEGATIVE,0.9934853911399841,,,,,,
2022-06-03 23:51:04+00:00,1532872526296190977,"Oil company profits are in the billions for ExxonMobil, Shell, BP, Chevron, &amp; ConocoPhillips. So I love .@RepAdamSchiff's idea to discontinue the federal tax we pay right now and make the oil companies pay a tax on gouging consumers. https://t.co/VeHcRFJhxe",LindaScribbling,0.0,"[{'label': 'POSITIVE', 'score': 0.5311265587806702}]",POSITIVE,0.5311265587806702,,,,,,
2022-06-03 23:49:20+00:00,1532872090151444486,"Anyone else sick of @exxonmobil @Chevron @Shell @KochIndustries @OPECSecretariat yet? 
Yesterday a $.20 climb,9 cents more today. My next vehicle will be electric. I will be changing my home over to renewables &amp; when asked why, my answer will be the GREED of the oil/gas industry.",Texasgemi,2.0,"[{'label': 'NEGATIVE', 'score': 0.9979015588760376}]",NEGATIVE,0.9979015588760376,,,,,,
2022-06-03 23:38:07+00:00,1532869269104472064,"@kron4news Why don't you report the full story? ""As gas prices reach new highs, Big Oil has been making historic profits. In the first three months of 2022, ExxonMobil pocketed $5.5 billion after taxes; Chevron gained $6.3 billion; and ConocoPhillips made $5.8 billion.""",animal_loverCA,0.0,"[{'label': 'POSITIVE', 'score': 0.9954118132591248}]",POSITIVE,0.9954118132591248,,,,,,
2022-06-03 23:32:57+00:00,1532867967582601217,"Bloomberg Markets and Finance: Chevron CEO on Oil Demand, Costs, Refinery Closures.
https://t.co/YlxlcvF5sI

via @GoogleNews",billmorill,0.0,"[{'label': 'NEGATIVE', 'score': 0.8195627927780151}]",NEGATIVE,0.8195627927780151,,,,,,
2022-06-03 23:30:32+00:00,1532867360104730624,"This ad funded by @Chevron and @CAApartments are misleading voters by spreading false information. Senate District 20 is an open seat and each of us running has never held office before. Yet, Big Oil &amp; Real Estate special interests are spending nearly $125,000 to spread this lie. https://t.co/aG5SIobgW1",CarolineMenjiv3,95.0,"[{'label': 'NEGATIVE', 'score': 0.9921112060546875}]",NEGATIVE,0.9921112060546875,,,,,,
2022-06-03 23:05:12+00:00,1532860985823924226,Chevron CEO Warns Not to Count on New US Oil Refinery Even With Surging Gas Prices https://t.co/I7n4oV298o,charotardaily,0.0,"[{'label': 'NEGATIVE', 'score': 0.9914774298667908}]",NEGATIVE,0.9914774298667908,,,,,,
2022-06-03 23:00:57+00:00,1532859913705168896,"@westcovinajoe @dulaney_jon @sarahparvini @latimes @Chevron Chevron could care less, they’re making billions. Also, the gas station owner sets the price, so they are guilty of price gouging too. Oil went down some and gas stations either kept their prices the same, or raised them a few cents. They should have gone down. Thieves!",AndrewRosaleny,0.0,"[{'label': 'NEGATIVE', 'score': 0.9991814494132996}]",NEGATIVE,0.9991814494132996,,,,,,
2022-06-04 23:44:59+00:00,1533233381906997249,Chevron CEO says there may never be another oil refinery built in the U.S. https://t.co/R2NkTqqDnD #FoxBusiness,jtnic13,0.0,"[{'label': 'NEGATIVE', 'score': 0.9923944473266602}]",NEGATIVE,0.9923944473266602,,,,,,
2022-06-04 23:39:47+00:00,1533232076966838272,"How high can #oil go, a lot higher!!! 😈🔥🛢

Chevron CEO Says No New Refineries In U.S—Ever https://t.co/VTyICnlxWJ https://t.co/HlxUGbrR79",ALLINTRADERS1,4.0,"[{'label': 'NEGATIVE', 'score': 0.9892500638961792}]",NEGATIVE,0.9892500638961792,,,,,,
